strain,Mash_cluster,Source
GCA_900172025.1_16189_8_1_genomic.fasta,2673,Environment
GCA_021867055.1_PDT001207262.1_genomic.fasta,3056,Animal
GCA_022199185.1_PDT000708337.1_genomic.fasta,1078,Human
GCA_900514365.1_18174_6_118_genomic.fasta,7584,Human
GCA_032496585.1_PDT001917821.1_genomic.fasta,3224,Human
GCA_016528835.1_ASM1652883v1_genomic.fasta,3231,Human
GCA_023275315.1_ASM2327531v1_genomic.fasta,1774,Human
GCA_021866495.1_PDT001207368.1_genomic.fasta,5666,Animal
GCA_022196425.1_PDT000715021.1_genomic.fasta,372,Human
GCA_032134035.1_PDT001903182.1_genomic.fasta,1513,Human
GCA_900085605.1_12045_7_47_genomic.fasta,8467,Human
GCA_034863445.1_ASM3486344v1_genomic.fasta,9048,Animal
GCA_041077025.1_ASM4107702v1_genomic.fasta,7121,Human
GCA_900504755.1_19084_3_27_genomic.fasta,4749,Human
GCA_023980425.1_PDT001347443.1_genomic.fasta,6508,Animal
GCA_926498935.1_68078_genomic.fasta,7186,Human
GCA_013792545.1_ASM1379254v1_genomic.fasta,2803,Environment
GCA_021857085.1_PDT001209171.1_genomic.fasta,9286,Environment
GCA_022789705.1_ASM2278970v1_genomic.fasta,3545,Environment
GCA_009661155.1_ASM966115v1_genomic.fasta,7001,Human
GCA_013409055.1_ASM1340905v1_genomic.fasta,7377,Environment
GCA_021862645.1_PDT001208209.1_genomic.fasta,3652,Human
GCA_900171905.1_16189_8_25_genomic.fasta,2707,Environment
GCA_900172945.1_20794_7_126_genomic.fasta,1466,Environment
GCA_021952745.1_ASM2195274v1_genomic.fasta,2503,Environment
GCA_032153335.1_PDT001902923.1_genomic.fasta,890,Human
GCA_021865715.1_PDT001207405.1_genomic.fasta,2614,Food
GCA_034865505.1_ASM3486550v1_genomic.fasta,5556,Animal
GCA_023981395.1_PDT001347393.1_genomic.fasta,3590,Animal
GCA_022102235.1_PDT001243629.1_genomic.fasta,6925,Human
GCA_018442115.1_ASM1844211v1_genomic.fasta,4910,Human
GCA_030128375.1_ASM3012837v1_genomic.fasta,8497,Environment
GCA_034864805.1_ASM3486480v1_genomic.fasta,912,Animal
GCA_022182685.1_PDT000724045.1_genomic.fasta,1332,Animal
GCA_022789425.1_ASM2278942v1_genomic.fasta,6749,Environment
GCA_025026745.1_ASM2502674v1_genomic.fasta,8627,Animal
GCA_013783245.1_ASM1378324v1_genomic.fasta,8712,Environment
GCA_022194845.1_PDT000715118.1_genomic.fasta,36,Human
GCA_021938075.1_PDT001076088.1_genomic.fasta,5972,Animal
GCA_021977615.1_PDT001011369.1_genomic.fasta,3609,Human
GCA_016056235.1_ASM1605623v1_genomic.fasta,6880,Human
GCA_035830335.1_ASM3583033v1_genomic.fasta,696,Animal
GCA_014103925.1_ASM1410392v1_genomic.fasta,681,Environment
GCA_034865365.1_ASM3486536v1_genomic.fasta,758,Animal
GCA_022203565.1_PDT000674656.1_genomic.fasta,4846,Environment
GCA_034865445.1_ASM3486544v1_genomic.fasta,9224,Animal
GCA_901421045.1_40345_D01_genomic.fasta,9229,Environment
GCA_905217845.2_AI2593v1_cp_genomic.fasta,5914,Human
GCA_023982385.1_PDT001347514.1_genomic.fasta,6053,Animal
GCA_025888495.1_PDT001469222.1_genomic.fasta,6728,Environment
GCA_022790345.1_ASM2279034v1_genomic.fasta,185,Environment
GCA_020544485.1_ASM2054448v1_genomic.fasta,3379,Human
GCA_032153055.1_PDT001902942.1_genomic.fasta,8453,Human
GCA_023274795.1_ASM2327479v1_genomic.fasta,6560,Human
GCA_026240555.1_ASM2624055v1_genomic.fasta,2398,Animal
GCA_902704575.1_Kpngiani7132636_genomic.fasta,4012,Human
GCA_021865055.1_PDT001208143.1_genomic.fasta,6580,Human
GCA_017596125.1_ASM1759612v1_genomic.fasta,1578,Animal
GCA_022203425.1_PDT000674668.1_genomic.fasta,9030,Environment
GCA_023275095.1_ASM2327509v1_genomic.fasta,4323,Human
GCA_035284225.1_ASM3528422v1_genomic.fasta,7873,Animal
GCA_032070745.1_PDT001905054.1_genomic.fasta,2535,Human
GCA_022139745.1_PDT001244384.1_genomic.fasta,5708,Human
GCA_017972755.1_ASM1797275v1_genomic.fasta,7620,Human
GCA_021916035.1_PDT001092432.1_genomic.fasta,2456,Human
GCA_956476375.1_IT53001-BL-KP-190531_contigs_filtered.fa.gz_genomic.fasta,7098,Human
GCA_900086215.1_12082_4_88_genomic.fasta,4614,Human
GCA_016628545.1_ASM1662854v1_genomic.fasta,4839,Environment
GCA_019678655.1_ASM1967865v1_genomic.fasta,3255,Animal
GCA_021866655.1_PDT001207294.1_genomic.fasta,704,Food
GCA_019677895.1_ASM1967789v1_genomic.fasta,4869,Food
GCA_024490215.1_PDT001373097.1_genomic.fasta,8070,Human
GCA_013736155.1_ASM1373615v1_genomic.fasta,6650,Environment
GCA_022526045.1_PDT001260460.1_genomic.fasta,5256,Environment
GCA_034865545.1_ASM3486554v1_genomic.fasta,4809,Animal
GCA_021930235.1_PDT001091593.1_genomic.fasta,7707,Human
GCA_018447525.1_ASM1844752v1_genomic.fasta,6573,Human
GCA_032045555.1_PDT001903223.1_genomic.fasta,8775,Human
GCA_023527625.1_PDT001313869.1_genomic.fasta,8478,Animal
GCA_024492035.1_PDT001373233.1_genomic.fasta,2215,Human
GCA_905233085.2_AI2801v1_cp_genomic.fasta,6168,Human
GCA_021866335.1_PDT001207377.1_genomic.fasta,662,Animal
GCA_021866155.1_PDT001207386.1_genomic.fasta,1653,Animal
GCA_036287785.1_ASM3628778v1_genomic.fasta,2670,Environment
GCA_022789785.1_ASM2278978v1_genomic.fasta,5131,Environment
GCA_022313155.1_PDT000136316.2_genomic.fasta,5264,Human
GCA_017595845.1_ASM1759584v1_genomic.fasta,6491,Animal
GCA_032156005.1_PDT001902812.1_genomic.fasta,376,Human
GCA_022139365.1_PDT001244839.1_genomic.fasta,8581,Human
GCA_034864065.1_ASM3486406v1_genomic.fasta,8739,Animal
GCA_023612435.1_ASM2361243v1_genomic.fasta,1368,Environment
GCA_022200525.1_PDT000706784.1_genomic.fasta,5251,Animal
GCA_022520045.1_PDT001259428.1_genomic.fasta,373,Environment
GCA_021796725.1_PDT001227486.1_genomic.fasta,8333,Human
GCA_030128995.1_ASM3012899v1_genomic.fasta,4363,Animal
GCA_035829495.1_ASM3582949v1_genomic.fasta,1903,Animal
GCA_037483165.1_ASM3748316v1_genomic.fasta,3519,Animal
GCA_013811445.1_ASM1381144v1_genomic.fasta,3715,Animal
GCA_019678555.1_ASM1967855v1_genomic.fasta,5952,Animal
GCA_034864945.1_ASM3486494v1_genomic.fasta,9201,Animal
GCA_032045355.1_PDT001903269.1_genomic.fasta,3887,Human
GCA_033122285.1_PDT001958233.1_genomic.fasta,8550,Human
GCA_922826965.1_ARGID_32923_genomic.fasta,1847,Human
GCA_022239915.1_PDT000441633.1_genomic.fasta,7217,Human
GCA_022116135.1_PDT001245102.1_genomic.fasta,6231,Human
GCA_023979765.1_PDT001347497.1_genomic.fasta,6845,Animal
GCA_022183025.1_PDT000723971.1_genomic.fasta,2617,Animal
GCA_905331275.2_AI3001v1_cpp_genomic.fasta,3839,Human
GCA_002102635.1_ASM210263v1_genomic.fasta,1974,Human
GCA_949554045.1_5_P3_6_genomic.fasta,4195,Animal
GCA_022789065.1_ASM2278906v1_genomic.fasta,2862,Environment
GCA_022520925.1_PDT001259335.1_genomic.fasta,407,Environment
GCA_037201445.1_ASM3720144v1_genomic.fasta,1617,Food
GCA_900508565.1_19646_3_156_genomic.fasta,4936,Human
GCA_023961255.1_PDT001347488.1_genomic.fasta,351,Animal
GCA_018445125.1_ASM1844512v1_genomic.fasta,9083,Human
GCA_027948505.1_PDT001580437.1_genomic.fasta,6071,Human
GCA_021917825.1_PDT001092374.1_genomic.fasta,6716,Human
GCA_956465315.1_29_P2_5_genomic.fasta,1482,Animal
GCA_900501935.1_18623_2_123_genomic.fasta,3437,Human
GCA_021977015.1_PDT001011429.1_genomic.fasta,374,Human
GCA_019679335.1_ASM1967933v1_genomic.fasta,3702,Animal
GCA_033802785.1_ASM3380278v1_genomic.fasta,4574,Human
GCA_947576975.1_NRZ-79025a_genomic.fasta,7049,Human
GCA_019678535.1_ASM1967853v1_genomic.fasta,3561,Animal
GCA_023980345.1_PDT001347445.1_genomic.fasta,3571,Animal
GCA_022198825.1_PDT000708371.1_genomic.fasta,7002,Animal
GCA_025049515.1_PDT001384845.1_genomic.fasta,2901,Animal
GCA_022139285.1_PDT001245029.1_genomic.fasta,1724,Human
GCA_022275565.1_PDT000432634.1_genomic.fasta,1864,Human
GCA_022535855.1_PDT001259238.1_genomic.fasta,5020,Environment
GCA_034864405.1_ASM3486440v1_genomic.fasta,9273,Animal
GCA_023982695.1_PDT001347360.1_genomic.fasta,2033,Human
GCA_030405985.1_ASM3040598v1_genomic.fasta,2296,Environment
GCA_022149465.1_PDT001244776.1_genomic.fasta,4237,Human
GCA_022203605.1_PDT000674658.1_genomic.fasta,5661,Environment
GCA_021862785.1_PDT001208201.1_genomic.fasta,8764,Human
GCA_022100475.1_PDT001243909.1_genomic.fasta,1276,Human
GCA_900511045.1_17870_3_56_genomic.fasta,9059,Human
GCA_022120035.1_PDT001244906.1_genomic.fasta,5876,Human
GCA_022160185.1_PDT001243553.1_genomic.fasta,3667,Human
GCA_035008325.1_ASM3500832v1_genomic.fasta,8985,Environment
GCA_900501785.1_18623_2_110_genomic.fasta,2250,Human
GCA_900171825.1_16404_3_32_genomic.fasta,5911,Environment
GCA_021916845.1_PDT001092426.1_genomic.fasta,4829,Human
GCA_032462195.1_ASM3246219v1_genomic.fasta,8925,Human
GCA_022789505.1_ASM2278950v1_genomic.fasta,499,Environment
GCA_024526215.1_PDT001373273.1_genomic.fasta,9277,Human
GCA_022528625.1_PDT001260181.1_genomic.fasta,15,Environment
GCA_021871335.1_PDT001199566.1_genomic.fasta,8336,Environment
GCA_021866975.1_PDT001207278.1_genomic.fasta,5859,Animal
GCA_022320265.1_PDT000537777.1_genomic.fasta,2471,Animal
GCA_034864885.1_ASM3486488v1_genomic.fasta,8460,Animal
GCA_022995665.1_PDT001287192.1_genomic.fasta,4813,Human
GCA_021866195.1_PDT001207383.1_genomic.fasta,8791,Animal
GCA_030127945.1_ASM3012794v1_genomic.fasta,5633,Environment
GCA_009646195.1_ASM964619v1_genomic.fasta,3804,Environment
GCA_031174765.1_PDT001873496.1_genomic.fasta,8161,Human
GCA_900086095.1_12082_4_75_genomic.fasta,905,Human
GCA_024447175.1_PDT001368832.1_genomic.fasta,2023,Human
GCA_033550655.1_PDT001979160.1_genomic.fasta,4153,Animal
GCA_021865975.1_PDT001207396.1_genomic.fasta,131,Animal
GCA_019093295.1_ASM1909329v1_genomic.fasta,5569,Environment
GCA_018423385.2_ASM1842338v2_genomic.fasta,89,Human
GCA_021925705.1_PDT001091869.1_genomic.fasta,2936,Human
GCA_034863625.1_ASM3486362v1_genomic.fasta,5464,Animal
GCA_016138815.1_ASM1613881v1_genomic.fasta,7288,Human
GCA_021311295.1_ASM2131129v1_genomic.fasta,2063,Human
GCA_022204205.1_PDT000674600.1_genomic.fasta,6357,Human
GCA_023980245.1_PDT001347453.1_genomic.fasta,583,Animal
GCA_021979815.1_PDT001011198.1_genomic.fasta,6757,Human
GCA_017595905.1_ASM1759590v1_genomic.fasta,3736,Animal
GCA_016137055.1_ASM1613705v1_genomic.fasta,8018,Human
GCA_019679075.1_ASM1967907v1_genomic.fasta,9296,Animal
GCA_036947185.1_ASM3694718v1_genomic.fasta,6786,Human
GCA_900085075.1_12045_6_75_genomic.fasta,5649,Human
GCA_024126395.1_ASM2412639v1_genomic.fasta,8900,Animal
GCA_021925105.1_PDT001091919.1_genomic.fasta,641,Human
GCA_022209065.1_PDT000636242.1_genomic.fasta,6536,Human
GCA_021928115.1_PDT001091725.1_genomic.fasta,1851,Human
GCA_900517625.1_18489_5_19_genomic.fasta,8088,Human
GCA_022159525.1_PDT001243617.1_genomic.fasta,989,Human
GCA_900515055.1_18174_6_5_genomic.fasta,1859,Human
GCA_022201505.1_PDT000706603.1_genomic.fasta,6078,Environment
GCA_022314255.1_PDT000136242.2_genomic.fasta,5263,Human
GCA_013704985.1_ASM1370498v1_genomic.fasta,1009,Environment
GCA_019428445.1_ASM1942844v1_genomic.fasta,3703,Environment
GCA_022182905.1_PDT000724037.1_genomic.fasta,9247,Animal
GCA_033254545.1_ASM3325454v1_genomic.fasta,4234,Human
GCA_034864245.1_ASM3486424v1_genomic.fasta,202,Animal
GCA_022199085.1_PDT000708350.1_genomic.fasta,778,Environment
GCA_035829475.1_ASM3582947v1_genomic.fasta,8676,Animal
GCA_024586635.1_ASM2458663v1_genomic.fasta,7369,Human
GCA_037031255.1_ASM3703125v1_genomic.fasta,1552,Human
GCA_946888785.1_PBIO3691_genomic.fasta,5883,Animal
GCA_900560405.1_9776_7_47_genomic.fasta,1952,Human
GCA_036951225.1_ASM3695122v1_genomic.fasta,2658,Animal
GCA_902164545.1_25964_2_248_genomic.fasta,526,Human
GCA_034864225.1_ASM3486422v1_genomic.fasta,995,Animal
GCA_900511165.1_17870_3_74_genomic.fasta,3489,Human
GCA_022530265.1_PDT001259937.1_genomic.fasta,7905,Environment
GCA_021920965.1_PDT001092139.1_genomic.fasta,1975,Human
GCA_022158385.1_PDT001243755.1_genomic.fasta,2463,Human
GCA_022182385.1_PDT000724093.1_genomic.fasta,5970,Human
GCA_017595965.1_ASM1759596v1_genomic.fasta,2170,Animal
GCA_021972815.1_PDT001013278.1_genomic.fasta,8790,Human
GCA_956455375.1_8_P1_6_genomic.fasta,7329,Animal
GCA_022505925.1_PDT001261506.1_genomic.fasta,8036,Animal
GCA_036455445.1_ASM3645544v1_genomic.fasta,7161,Human
GCA_030128425.1_ASM3012842v1_genomic.fasta,21,Environment
GCA_956441495.1_14_P2_17_genomic.fasta,1484,Animal
GCA_030912815.1_ASM3091281v1_genomic.fasta,4719,Human
GCA_916163655.1_004267_INSP188_genomic.fasta,2596,Human
GCA_022239055.1_PDT000441654.1_genomic.fasta,7435,Human
GCA_023528495.1_PDT001313951.1_genomic.fasta,2349,Animal
GCA_905217815.2_AI2584v1_cp_genomic.fasta,8106,Human
GCA_023980605.1_PDT001347432.1_genomic.fasta,568,Animal
GCA_021866815.1_PDT001207283.1_genomic.fasta,6792,Animal
GCA_916162535.1_004136_INSP158_genomic.fasta,4493,Human
GCA_900500985.1_18489_5_95_genomic.fasta,5788,Human
GCA_900559445.1_9776_8_84_genomic.fasta,1437,Human
GCA_017972245.1_ASM1797224v1_genomic.fasta,7372,Human
GCA_956479365.1_RO39001-UR-KP-190418_contigs_filtered.fa.gz_genomic.fasta,6403,Human
GCA_034863965.1_ASM3486396v1_genomic.fasta,9171,Animal
GCA_036952565.1_ASM3695256v1_genomic.fasta,2546,Animal
GCA_022182785.1_PDT000724014.1_genomic.fasta,2810,Animal
GCA_019426435.1_ASM1942643v1_genomic.fasta,9284,Animal
GCA_019093425.1_ASM1909342v1_genomic.fasta,8796,Environment
GCA_024223795.1_ASM2422379v1_genomic.fasta,3525,Animal
GCA_022199985.1_PDT000706898.1_genomic.fasta,122,Animal
GCA_021976875.1_PDT001011436.1_genomic.fasta,2691,Human
GCA_022237685.1_PDT000441692.1_genomic.fasta,6230,Human
GCA_021918275.1_PDT001092343.1_genomic.fasta,3062,Human
GCA_022268035.1_PDT000434812.1_genomic.fasta,4695,Human
GCA_033899825.1_ASM3389982v1_genomic.fasta,2405,Human
GCA_025878165.1_PDT001467936.1_genomic.fasta,4342,Human
GCA_022204345.1_PDT000674587.1_genomic.fasta,3428,Animal
GCA_037082025.1_ASM3708202v1_genomic.fasta,4317,Human
GCA_019732615.1_ASM1973261v1_genomic.fasta,477,Human
GCA_021808115.1_PDT001227267.1_genomic.fasta,4645,Human
GCA_033559595.1_PDT001979137.1_genomic.fasta,2071,Animal
GCA_013135125.1_ASM1313512v1_genomic.fasta,8172,Human
GCA_022527245.1_PDT001260664.1_genomic.fasta,30,Environment
GCA_009710345.1_ASM971034v1_genomic.fasta,6232,Environment
GCA_019677745.1_ASM1967774v1_genomic.fasta,763,Animal
GCA_041076875.1_ASM4107687v1_genomic.fasta,7149,Human
GCA_019677955.1_ASM1967795v1_genomic.fasta,755,Animal
GCA_021838085.1_PDT001216478.1_genomic.fasta,7847,Human
GCA_947576085.1_NRZ-79873_genomic.fasta,4547,Human
GCA_023980865.1_PDT001347423.1_genomic.fasta,1344,Animal
GCA_021802835.1_PDT001227570.1_genomic.fasta,7031,Human
GCA_022180645.1_PDT000737470.1_genomic.fasta,4085,Human
GCA_956478795.1_RO36025-UR-KP-190315_contigs_filtered.fa.gz_genomic.fasta,6289,Human
GCA_031852645.1_ASM3185264v1_genomic.fasta,7128,Human
GCA_022199425.1_PDT000708294.1_genomic.fasta,1054,Animal
GCA_902705235.1_Kpngiani7132537_genomic.fasta,4009,Human
GCA_022536255.1_PDT001260720.1_genomic.fasta,1426,Environment
GCA_019679205.1_ASM1967920v1_genomic.fasta,6712,Animal
GCA_023980665.1_PDT001347427.1_genomic.fasta,3306,Animal
GCA_036421895.1_ASM3642189v1_genomic.fasta,4569,Human
GCA_019679415.1_ASM1967941v1_genomic.fasta,2553,Animal
GCA_905333985.2_AI2909v1_cp_genomic.fasta,8138,Human
GCA_035828955.1_ASM3582895v1_genomic.fasta,5838,Animal
GCA_028560455.1_PDT001610705.1_genomic.fasta,6865,Human
GCA_009710285.1_ASM971028v1_genomic.fasta,7173,Environment
GCA_900504085.1_19084_3_139_genomic.fasta,7949,Human
GCA_900514605.1_18174_6_151_genomic.fasta,7549,Human
GCA_021937035.1_PDT001078611.1_genomic.fasta,3750,Human
GCA_035828935.1_ASM3582893v1_genomic.fasta,5603,Animal
GCA_035829995.1_ASM3582999v1_genomic.fasta,5965,Animal
GCA_022184825.1_PDT000716794.1_genomic.fasta,3971,Animal
GCA_027130675.1_PDT001538052.1_genomic.fasta,3757,Human
GCA_022183725.1_PDT000723852.1_genomic.fasta,5901,Animal
GCA_019428415.1_ASM1942841v1_genomic.fasta,1379,Animal
GCA_009207955.1_ASM920795v1_genomic.fasta,1867,Human
GCA_900538145.1_57029_A02_genomic.fasta,6152,Human
GCA_021918925.1_PDT001092301.1_genomic.fasta,3014,Human
GCA_900512895.1_18174_5_108_genomic.fasta,1563,Human
GCA_021777255.1_PDT001227859.1_genomic.fasta,1907,Human
GCA_033123585.1_PDT001958011.1_genomic.fasta,6106,Animal
GCA_022155905.1_PDT001244004.1_genomic.fasta,1732,Human
GCA_900504275.1_19084_3_162_genomic.fasta,1946,Human
GCA_019093235.1_ASM1909323v1_genomic.fasta,4648,Environment
GCA_916161595.1_003942_INSP115_genomic.fasta,2392,Human
GCA_017595685.1_ASM1759568v1_genomic.fasta,3735,Animal
GCA_900085345.1_12045_7_19_genomic.fasta,6594,Human
GCA_032071085.1_PDT001905042.1_genomic.fasta,5009,Human
GCA_014103065.1_ASM1410306v1_genomic.fasta,6652,Environment
GCA_900172005.1_16404_3_35_genomic.fasta,5321,Environment
GCA_022789285.1_ASM2278928v1_genomic.fasta,5237,Environment
GCA_022432765.1_PDT001256226.1_genomic.fasta,6557,Human
GCA_040763125.1_ASM4076312v1_genomic.fasta,741,Human
GCA_032075525.1_PDT001904984.1_genomic.fasta,5072,Human
GCA_022790415.1_ASM2279041v1_genomic.fasta,508,Environment
