strain,Source,label,shared_components
GCA_029433685.1_ASM2943368v1_genomic.fasta,Human,human,3
GCA_029433775.1_ASM2943377v1_genomic.fasta,Human,human,3
GCA_030024865.1_ASM3002486v1_genomic.fasta,Human,human,6
GCA_030398485.1_CPCKP2_genomic.fasta,Environment,nohuman,3
GCA_030398635.1_CPCKP9_genomic.fasta,Environment,nohuman,3
GCA_030845375.1_ASM3084537v1_genomic.fasta,Human,human,3
GCA_031033265.1_PDT001776407.1_genomic.fasta,Human,human,5
GCA_031033425.1_PDT001776366.1_genomic.fasta,Human,human,3
GCA_031047695.1_PDT001725777.1_genomic.fasta,Human,human,4
GCA_031047955.1_PDT001725765.1_genomic.fasta,Human,human,6
GCA_031174745.1_PDT001873524.1_genomic.fasta,Human,human,4
GCA_033033935.1_ASM3303393v1_genomic.fasta,Environment,nohuman,6
GCA_033336615.1_ASM3333661v1_genomic.fasta,Human,human,3
GCA_033336995.1_ASM3333699v1_genomic.fasta,Human,human,3
GCA_033540735.1_ASM3354073v1_genomic.fasta,Human,human,4
GCA_033541695.1_ASM3354169v1_genomic.fasta,Human,human,4
GCA_033542425.1_ASM3354242v1_genomic.fasta,Human,human,3
GCA_034196275.1_PDT002019018.1_genomic.fasta,Environment,nohuman,4
GCA_035017105.1_ASM3501710v1_genomic.fasta,Human,human,5
GCA_036986355.1_ASM3698635v1_genomic.fasta,Food,nohuman,6
GCA_036986375.1_ASM3698637v1_genomic.fasta,Animal,nohuman,4
GCA_036986395.1_ASM3698639v1_genomic.fasta,Food,nohuman,4
GCA_036986415.1_ASM3698641v1_genomic.fasta,Food,nohuman,4
GCA_036986455.1_ASM3698645v1_genomic.fasta,Animal,nohuman,4
GCA_036986475.1_ASM3698647v1_genomic.fasta,Food,nohuman,6
GCA_036986535.1_ASM3698653v1_genomic.fasta,Food,nohuman,5
GCA_036986575.1_ASM3698657v1_genomic.fasta,Food,nohuman,6
GCA_036986615.1_ASM3698661v1_genomic.fasta,Food,nohuman,4
GCA_036986635.1_ASM3698663v1_genomic.fasta,Food,nohuman,3
GCA_036986695.1_ASM3698669v1_genomic.fasta,Food,nohuman,5
GCA_036986735.1_ASM3698673v1_genomic.fasta,Food,nohuman,6
GCA_036986755.1_ASM3698675v1_genomic.fasta,Food,nohuman,6
GCA_036986795.1_ASM3698679v1_genomic.fasta,Animal,nohuman,5
GCA_037164945.1_ASM3716494v1_genomic.fasta,Environment,nohuman,5
GCA_037165165.1_ASM3716516v1_genomic.fasta,Environment,nohuman,4
GCA_040422695.1_ASM4042269v1_genomic.fasta,Human,human,4
GCA_041023095.1_ASM4102309v1_genomic.fasta,Animal,nohuman,4
GCA_041023315.1_ASM4102331v1_genomic.fasta,Animal,nohuman,4
GCA_900407125.1_De_novo_assembly_of_KCRI_isolate_R0003_315_genomic.fasta,Human,human,3
GCA_900407225.1_De_novo_assembly_of_KCRI_isolate_R0009_566A_genomic.fasta,Human,human,3
GCA_903110795.1_CHZ6_genomic.fasta,Animal,nohuman,3
GCA_903111615.1_CHZ16-Q1444_genomic.fasta,Animal,nohuman,3
GCA_959609695.1_CRESA-KP228-merged_contigs_filtered.fa.gz_genomic.fasta,Human,human,5
GCA_959609755.1_CRESA-16431-220705_contigs_filtered.fa.gz_genomic.fasta,Human,human,5
GCA_959610255.1_CRESA-KP144-220721_contigs_filtered.fa.gz_genomic.fasta,Human,human,4
GCA_964019465.1_60550-6p_genomic.fasta,Animal,nohuman,5
GCA_964207575.1_FFSG_57-PUS.1_genomic.fasta,Human,human,6
