strain_1,strain_2,shared_components,Source_1,Source_2,Pair_Type
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165105.1_ASM3716510v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Food,Animal,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Food,Food,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Food,Animal,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Food,Animal,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Food,Environment,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Food,Animal,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Food,Environment,NonHuman-NonHuman
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Food,Human,NonHuman-Human
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Food,Human,NonHuman-Human
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Food,Human,NonHuman-Human
GCA_003346635.1_ASM334663v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Food,Human,NonHuman-Human
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866905.1_ASM3686690v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988825.1_ASM2498882v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_024988855.1_ASM2498885v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_020592215.1_ASM2059221v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165045.1_ASM3716504v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398655.1_CPCKP10_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_014893365.1_ASM1489336v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_021494045.1_ASM2149404v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_003346645.1_ASM334664v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_037165095.1_ASM3716509v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_037165605.1_ASM3716560v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_021494405.1_ASM2149440v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_037164805.1_ASM3716480v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_009925405.1_ASM992540v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_036866945.1_ASM3686694v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_002934865.1_ASM293486v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_021494345.1_ASM2149434v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_018790695.1_ASM1879069v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_024988875.1_ASM2498887v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_035066425.1_ASM3506642v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_903113155.1_CHZ3_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_024609505.1_ASM2460950v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_034518905.1_PDT002029319.1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_022968715.1_ASM2296871v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_034406535.1_PDT002029318.1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_021815485.1_PDT001220473.1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_003346445.1_ASM334644v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_020592315.1_ASM2059231v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_036866855.1_ASM3686685v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_025548405.1_ASM2554840v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_030398585.1_CPCKP8_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_024609685.1_ASM2460968v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_018790475.1_ASM1879047v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_022968365.1_ASM2296836v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_022968155.1_ASM2296815v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_018790665.1_ASM1879066v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_024988815.1_ASM2498881v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_022176125.1_PDT000749113.1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_030398475.1_CPCKP3_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_036866925.1_ASM3686692v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_018790205.1_ASM1879020v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_013187615.1_ASM1318761v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_036543305.1_ASM3654330v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_026334555.1_PDT001494318.1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_008704215.1_ASM870421v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_021876175.1_PDT001197710.1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_026326135.1_PDT001494804.1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_900407195.1_De_novo_assembly_of_KCRI_isolate_RDK39_50_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_037628765.1_ASM3762876v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_009907295.1_ASM990729v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_033336255.1_ASM3333625v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_026318245.1_PDT001495350.1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_009907675.1_ASM990767v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_037630335.1_ASM3763033v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_900407025.1_De_novo_assembly_of_KCRI_isolate_RDK01_150C_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592335.1_ASM2059233v1_genomic.fasta,GCA_004212615.1_ASM421261v1_genomic.fasta,0,Animal,Human,NonHuman-Human
