strain,Mash_cluster,Source
GCA_002852995.3_ASM285299v3_genomic.fasta,2470,Human
GCA_029541625.1_ASM2954162v1_genomic.fasta,277,Environment
GCA_034365065.1_ASM3436506v1_genomic.fasta,4559,Human
GCA_020479885.1_ASM2047988v1_genomic.fasta,2102,Human
GCA_019401425.1_ASM1940142v1_genomic.fasta,1723,Human
GCA_024240275.1_ASM2424027v1_genomic.fasta,5820,Human
GCA_022849775.1_ASM2284977v1_genomic.fasta,4481,Human
GCA_014289465.1_ASM1428946v1_genomic.fasta,297,Human
GCA_024756765.1_ASM2475676v1_genomic.fasta,4718,Human
GCA_034742075.1_ASM3474207v1_genomic.fasta,1078,Environment
GCA_024516845.1_ASM2451684v1_genomic.fasta,5627,Animal
GCA_034085665.1_ASM3408566v1_genomic.fasta,4112,Human
GCA_024517385.1_ASM2451738v1_genomic.fasta,497,Animal
GCA_022858005.1_ASM2285800v1_genomic.fasta,888,Human
GCA_021395655.1_ASM2139565v1_genomic.fasta,2073,Animal
GCA_031318955.1_ASM3131895v1_genomic.fasta,5755,Human
GCA_014282945.1_ASM1428294v1_genomic.fasta,2996,Human
GCA_028656355.1_ASM2865635v1_genomic.fasta,5449,Human
GCA_034082105.1_ASM3408210v1_genomic.fasta,5396,Human
GCA_034743695.1_ASM3474369v1_genomic.fasta,355,Environment
GCA_024516535.1_ASM2451653v1_genomic.fasta,2478,Animal
GCA_902507355.1_SRRSH15_genomic.fasta,4678,Human
GCA_024516295.1_ASM2451629v1_genomic.fasta,1267,Animal
GCA_032745475.1_ASM3274547v1_genomic.fasta,230,Environment
GCA_024517535.1_ASM2451753v1_genomic.fasta,2966,Animal
GCA_014108845.1_ASM1410884v1_genomic.fasta,4104,Animal
GCA_003664965.1_ASM366496v1_genomic.fasta,246,Environment
GCA_025884075.1_ASM2588407v1_genomic.fasta,2956,Human
GCA_029916605.1_ASM2991660v1_genomic.fasta,4567,Human
GCA_034361445.1_ASM3436144v1_genomic.fasta,40,Human
GCA_032744795.1_ASM3274479v1_genomic.fasta,1985,Environment
GCA_902507365.1_SRRSH23_genomic.fasta,5149,Human
GCA_030271995.1_ASM3027199v1_genomic.fasta,2458,Animal
GCA_002257855.1_ASM225785v1_genomic.fasta,2766,Human
GCA_028681735.1_ASM2868173v1_genomic.fasta,3160,Animal
GCA_033126525.1_PDT001958618.1_genomic.fasta,4922,Human
GCA_038381345.1_ASM3838134v1_genomic.fasta,1855,Human
GCA_021958485.1_PDT001020178.1_genomic.fasta,4627,Human
GCA_026236075.1_ASM2623607v1_genomic.fasta,1075,Environment
GCA_002761515.1_ASM276151v1_genomic.fasta,726,Human
GCA_014286305.1_ASM1428630v1_genomic.fasta,5331,Human
GCA_031317975.1_ASM3131797v1_genomic.fasta,5521,Human
GCA_034741675.1_ASM3474167v1_genomic.fasta,304,Food
GCA_026198515.1_ASM2619851v1_genomic.fasta,4086,Human
GCA_037026765.1_ASM3702676v1_genomic.fasta,112,Animal
GCA_003664705.1_ASM366470v1_genomic.fasta,3685,Environment
GCA_024517415.1_ASM2451741v1_genomic.fasta,5669,Animal
GCA_018223475.1_ASM1822347v1_genomic.fasta,1465,Human
GCA_039681535.1_ASM3968153v1_genomic.fasta,8,Animal
GCA_034742775.1_ASM3474277v1_genomic.fasta,308,Environment
GCA_040982835.1_ASM4098283v1_genomic.fasta,102,Animal
GCA_034741695.1_ASM3474169v1_genomic.fasta,3236,Food
GCA_039574685.1_ASM3957468v1_genomic.fasta,3307,Human
GCA_021395675.1_ASM2139567v1_genomic.fasta,296,Animal
GCA_024518065.1_ASM2451806v1_genomic.fasta,2460,Animal
GCA_015731075.1_ASM1573107v1_genomic.fasta,3396,Animal
GCA_018449305.1_ASM1844930v1_genomic.fasta,5482,Animal
GCA_034742895.1_ASM3474289v1_genomic.fasta,817,Environment
GCA_034742735.1_ASM3474273v1_genomic.fasta,631,Environment
GCA_021954645.1_PDT001020384.1_genomic.fasta,4705,Human
GCA_019050655.1_ASM1905065v1_genomic.fasta,2036,Human
GCA_036912315.1_ASM3691231v1_genomic.fasta,3546,Human
GCA_040691605.1_ASM4069160v1_genomic.fasta,1735,Human
GCA_034737495.1_ASM3473749v1_genomic.fasta,591,Human
GCA_031318435.1_ASM3131843v1_genomic.fasta,1037,Human
GCA_034743635.1_ASM3474363v1_genomic.fasta,5695,Environment
GCA_022997905.1_PDT001287245.1_genomic.fasta,4553,Environment
GCA_015832035.1_ASM1583203v1_genomic.fasta,1383,Environment
GCA_033949455.1_ASM3394945v1_genomic.fasta,285,Human
GCA_028681815.1_ASM2868181v1_genomic.fasta,3227,Animal
GCA_037198255.1_ASM3719825v1_genomic.fasta,5836,Animal
GCA_023740975.1_ASM2374097v1_genomic.fasta,379,Human
GCA_029541725.1_ASM2954172v1_genomic.fasta,1023,Animal
GCA_024516255.1_ASM2451625v1_genomic.fasta,915,Animal
GCA_021395335.1_ASM2139533v1_genomic.fasta,2983,Animal
GCA_034398015.1_ASM3439801v1_genomic.fasta,4305,Human
GCA_024240575.1_ASM2424057v1_genomic.fasta,5538,Human
GCA_039681795.1_ASM3968179v1_genomic.fasta,1951,Animal
GCA_024721055.1_ASM2472105v1_genomic.fasta,5324,Environment
GCA_041030665.1_ASM4103066v1_genomic.fasta,3387,Human
GCA_028825935.1_ASM2882593v1_genomic.fasta,5288,Human
GCA_004127765.1_ASM412776v1_genomic.fasta,2558,Animal
GCA_030972415.1_ASM3097241v1_genomic.fasta,3146,Human
GCA_040948925.1_ASM4094892v1_genomic.fasta,4255,Environment
GCA_029526625.1_ASM2952662v1_genomic.fasta,759,Human
GCA_902509445.1_ZKP204_genomic.fasta,5057,Human
GCA_040549785.1_ASM4054978v1_genomic.fasta,5473,Environment
GCA_040982135.1_ASM4098213v1_genomic.fasta,3673,Animal
GCA_026128225.1_ASM2612822v1_genomic.fasta,4203,Human
GCA_024757755.1_ASM2475775v1_genomic.fasta,4279,Human
GCA_040138715.1_ASM4013871v1_genomic.fasta,669,Animal
GCA_004127775.1_ASM412777v1_genomic.fasta,5614,Animal
GCA_023355875.1_ASM2335587v1_genomic.fasta,4837,Human
GCA_040721875.1_ASM4072187v1_genomic.fasta,3282,Environment
GCA_002257845.1_ASM225784v1_genomic.fasta,4707,Human
GCA_024241115.1_ASM2424111v1_genomic.fasta,5442,Human
GCA_007997455.1_ASM799745v1_genomic.fasta,4155,Human
GCA_030195015.1_ASM3019501v1_genomic.fasta,3150,Environment
GCA_017291795.1_ASM1729179v1_genomic.fasta,4772,Human
GCA_021395495.1_ASM2139549v1_genomic.fasta,2048,Animal
GCA_004127715.1_ASM412771v1_genomic.fasta,2557,Animal
GCA_040986985.1_ASM4098698v1_genomic.fasta,1616,Human
GCA_026623615.1_ASM2662361v1_genomic.fasta,3337,Human
GCA_004127845.1_ASM412784v1_genomic.fasta,260,Animal
GCA_024518005.1_ASM2451800v1_genomic.fasta,3293,Animal
GCA_022809875.1_ASM2280987v1_genomic.fasta,5760,Animal
GCA_902508685.1_ZKP124_genomic.fasta,2690,Human
GCA_041029465.1_ASM4102946v1_genomic.fasta,4367,Human
GCA_021965975.1_PDT001019800.1_genomic.fasta,2924,Human
GCA_034742015.1_ASM3474201v1_genomic.fasta,5686,Environment
GCA_039574245.1_ASM3957424v1_genomic.fasta,2609,Human
GCA_004127795.1_ASM412779v1_genomic.fasta,5613,Animal
GCA_945278655.1_SRR11267046_bin.13_metawrap_v1.3.0_MAG_genomic.fasta,820,Animal
GCA_026236015.1_ASM2623601v1_genomic.fasta,936,Environment
GCA_024199025.1_ASM2419902v1_genomic.fasta,2852,Environment
GCA_004127345.1_ASM412734v1_genomic.fasta,2556,Animal
GCA_034726775.1_ASM3472677v1_genomic.fasta,893,Human
GCA_024356605.1_ASM2435660v1_genomic.fasta,1949,Human
GCA_040987465.1_ASM4098746v1_genomic.fasta,1738,Human
GCA_030271895.1_ASM3027189v1_genomic.fasta,350,Animal
GCA_034391775.1_ASM3439177v1_genomic.fasta,16,Human
GCA_901001595.1_COK273_genomic.fasta,1831,Human
GCA_041090215.1_ASM4109021v1_genomic.fasta,3317,Animal
GCA_021020715.1_ASM2102071v1_genomic.fasta,13,Animal
GCA_040436055.1_ASM4043605v1_genomic.fasta,344,Human
GCA_040984985.1_ASM4098498v1_genomic.fasta,3589,Human
GCA_034726875.1_ASM3472687v1_genomic.fasta,183,Human
GCA_040982935.1_ASM4098293v1_genomic.fasta,3453,Animal
GCA_038376305.1_ASM3837630v1_genomic.fasta,3590,Human
GCA_902507345.1_SRRSH7_genomic.fasta,5006,Human
GCA_024237095.1_ASM2423709v1_genomic.fasta,3224,Human
GCA_007115205.1_ASM711520v1_genomic.fasta,4315,Human
GCA_033115655.1_PDT001958849.1_genomic.fasta,5220,Human
GCA_032740955.1_ASM3274095v1_genomic.fasta,480,Environment
GCA_021961805.1_PDT001020017.1_genomic.fasta,4681,Human
GCA_040550265.1_ASM4055026v1_genomic.fasta,63,Environment
GCA_040690775.1_ASM4069077v1_genomic.fasta,2144,Human
GCA_031793785.1_ASM3179378v1_genomic.fasta,3779,Human
GCA_036967225.1_ASM3696722v1_genomic.fasta,3820,Human
GCA_024517665.1_ASM2451766v1_genomic.fasta,5528,Animal
GCA_029677305.1_ASM2967730v1_genomic.fasta,3137,Animal
GCA_004127695.1_ASM412769v1_genomic.fasta,5480,Animal
GCA_034356595.1_PDT002026180.1_genomic.fasta,1863,Human
GCA_015774895.1_ASM1577489v1_genomic.fasta,3276,Environment
GCA_032742235.1_ASM3274223v1_genomic.fasta,4882,Environment
GCA_026229725.1_ASM2622972v1_genomic.fasta,1398,Human
GCA_024517805.1_ASM2451780v1_genomic.fasta,5658,Animal
GCA_034397895.1_ASM3439789v1_genomic.fasta,3594,Human
